,小区,老人类别,服务,需求满足率,理论需求,有效需求
0,A,自理,助餐,1.0,6692.0,6692
1,A,自理,日间照料,1.0,3824.0,3824
2,A,自理,康复理疗,1.0,956.0,956
3,A,自理,紧急救助,0.0,71.7,0
4,A,半失能,助餐,1.0,3380.0,3380
5,A,半失能,日间照料,1.0,2366.0,2366
6,A,半失能,上门护理,1.0,1014.0,1014
7,A,半失能,康复理疗,1.0,676.0,676
8,A,半失能,助浴,1.0,338.0,338
9,A,半失能,紧急救助,1.0,169.0,169
10,A,失能,助餐,1.0,2750.0,2750
11,A,失能,日间照料,1.0,2250.0,2250
12,A,失能,上门护理,1.0,1500.0,1500
13,A,失能,康复理疗,0.3333333333333333,750.0,250
14,A,失能,助浴,0.0,500.0,0
15,A,失能,紧急救助,1.0,375.0,375
16,B,自理,助餐,1.0,5586.0,5586
17,B,自理,日间照料,1.0,3192.0,3192
18,B,自理,康复理疗,1.0,798.0,798
19,B,自理,紧急救助,0.0,59.849999999999994,0
20,B,半失能,助餐,1.0,2900.0,2900
21,B,半失能,日间照料,1.0,2030.0,2030
22,B,半失能,上门护理,1.0,870.0,870
23,B,半失能,康复理疗,1.0,580.0,580
24,B,半失能,助浴,0.0,290.0,0
25,B,半失能,紧急救助,1.0,145.0,145
26,B,失能,助餐,1.0,2552.0,2552
27,B,失能,日间照料,1.0,2088.0,2088
28,B,失能,上门护理,0.9166666666666666,1392.0,1276
29,B,失能,康复理疗,0.0,696.0,0
30,B,失能,助浴,0.0,464.0,0
31,B,失能,紧急救助,1.0,348.0,348
32,C,自理,助餐,1.0,8568.0,8568
33,C,自理,日间照料,1.0,4896.0,4896
34,C,自理,康复理疗,1.0,1224.0,1224
35,C,自理,紧急救助,0.0,91.8,0
36,C,半失能,助餐,1.0,4460.0,4460
37,C,半失能,日间照料,1.0,3122.0,3122
38,C,半失能,上门护理,1.0,1338.0,1338
39,C,半失能,康复理疗,1.0,892.0,892
40,C,半失能,助浴,1.0,446.0,446
41,C,半失能,紧急救助,1.0,223.0,223
42,C,失能,助餐,1.0,3586.0,3586
43,C,失能,日间照料,1.0,2934.0,2934
44,C,失能,上门护理,1.0,1956.0,1956
45,C,失能,康复理疗,1.0,978.0,978
46,C,失能,助浴,0.25,652.0,163
47,C,失能,紧急救助,1.0,489.0,489
48,D,自理,助餐,1.0,5026.0,5026
49,D,自理,日间照料,1.0,2872.0,2872
50,D,自理,康复理疗,1.0,718.0,718
