coverage_required,coverage_actual,avg_satisfaction,n_stations,budget,stations,infeasible
0.6,0.7144583165525574,0.9938669673055244,5,117,A小+E小+G大+H小+J小,False
0.62,0.7144583165525574,0.9938669673055244,5,117,A小+E小+G大+H小+J小,False
0.64,0.7144583165525574,0.9938669673055244,5,117,A小+E小+G大+H小+J小,False
0.66,0.7144583165525574,0.9938669673055244,5,117,A小+E小+G大+H小+J小,False
0.68,0.7144583165525574,0.9938669673055244,5,117,A小+E小+G大+H小+J小,False
0.7,0.7144583165525574,0.9938669673055244,5,117,A小+E小+G大+H小+J小,False
0.72,0.7784937575513492,0.9902414209346438,4,113,E小+G中+I小+J大,False
0.74,0.7784937575513492,0.9902414209346438,4,113,E小+G中+I小+J大,False
0.76,0.7784937575513492,0.9902414209346438,4,113,E小+G中+I小+J大,False
0.78,0.7971539804000537,0.9900589424048502,3,108,E小+G大+J大,False
0.8,0.8006443817962142,0.9715649452269172,3,109,E大+F中+I中,False
0.82,,,0,0,,True
