iteration,tau
0,
1,
2,
3,
4,
5,
6,0.755
7,0.755
8,0.78
9,0.78
10,0.78
11,0.78
12,0.78
13,0.78
14,0.78
15,0.78
16,0.78
17,0.78
18,0.78
19,0.786
20,0.786
21,0.786
22,0.786
23,0.786
24,0.786
25,0.786
26,0.786
27,0.786
28,0.786
29,0.786
30,0.786
31,0.786
32,0.786
33,0.786
34,0.786
35,0.786
36,0.786
37,0.786
38,0.786
39,0.786
40,0.786
41,0.786
42,0.786
43,0.786
44,0.786
45,0.786
46,0.786
47,0.786
48,0.786
49,0.786
50,0.786
51,0.786
52,0.786
53,0.786
54,0.786
55,0.786
56,0.786
57,0.786
58,0.786
59,0.786
60,0.786
61,0.786
62,0.786
63,0.786
64,0.786
65,0.786
66,0.786
67,0.786
68,0.786
69,0.786
70,0.786
71,0.786
72,0.786
73,0.786
74,0.786
75,0.786
76,0.786
77,0.786
78,0.786
79,0.786
80,0.786
81,0.786
82,0.786
83,0.786
84,0.786
85,0.786
86,0.786
87,0.786
88,0.786
89,0.786
90,0.786
91,0.786
92,0.786
93,0.786
94,0.786
95,0.786
96,0.786
97,0.786
98,0.786
99,0.786
100,0.786
101,0.786
102,0.786
103,0.786
104,0.786
105,0.786
106,0.786
107,0.786
108,0.786
109,0.786
110,0.786
111,0.786
112,0.786
113,0.786
114,0.786
115,0.786
116,0.786
117,0.786
118,0.786
119,0.786
120,0.786
121,0.786
122,0.786
123,0.786
124,0.786
125,0.786
126,0.786
127,0.786
128,0.786
129,0.786
130,0.786
131,0.786
132,0.786
133,0.786
134,0.786
135,0.786
136,0.786
137,0.786
138,0.786
139,0.786
140,0.786
141,0.786
142,0.786
143,0.786
144,0.786
145,0.786
146,0.786
147,0.786
148,0.786
149,0.786
150,0.786
151,0.786
152,0.786
153,0.786
154,0.786
155,0.786
156,0.786
157,0.786
158,0.786
159,0.786
160,0.786
161,0.786
162,0.786
163,0.786
164,0.786
165,0.786
166,0.786
167,0.786
168,0.786
169,0.786
170,0.786
171,0.786
172,0.786
173,0.786
174,0.786
175,0.786
176,0.786
177,0.786
178,0.786
179,0.786
180,0.786
181,0.786
182,0.786
183,0.786
184,0.786
185,0.786
186,0.786
187,0.786
188,0.786
189,0.786
190,0.786
191,0.786
192,0.786
193,0.786
194,0.786
195,0.786
196,0.786
197,0.786
198,0.786
199,0.786
